feature,coef,abs_coef
jaccard_content,2.5119602198660416,2.5119602198660416
lexical_overlap,-2.116260214569306,2.116260214569306
claim_evidence_len_ratio,-1.9169093332862495,1.9169093332862495
nli_neutral,0.7018170756710655,0.7018170756710655
claim_numbers,0.6818446701556293,0.6818446701556293
claim_dates,-0.5144360844187916,0.5144360844187916
claim_modals,0.4723690871969861,0.4723690871969861
claim_has_date_evidence_no_date,0.4629867977115848,0.4629867977115848
evidence_negation,0.45880671485793206,0.45880671485793206
entity_overlap,0.41652784751441535,0.41652784751441535
claim_pronouns,-0.37762734826473715,0.37762734826473715
nli_contradiction,-0.3600678124940027,0.3600678124940027
claim_comparative,-0.24899036920118373,0.24899036920118373
numerical_overlap,0.22794353426934494,0.22794353426934494
gold_label_refuted,0.18747352646729395,0.18747352646729395
cosine_sim_claim_evidence,-0.1710141475021318,0.1710141475021318
claim_conjunctions,-0.15729457963918206,0.15729457963918206
claim_len_words,0.07494524110462995,0.07494524110462995
evidence_numbers,0.05692660790904897,0.05692660790904897
claim_negation,-0.036850689916752326,0.036850689916752326
claim_person_org_entities,0.03635857936433742,0.03635857936433742
evidence_entity_count,-0.03555633152563449,0.03555633152563449
n_evidence_sentences,0.0226297625042609,0.0226297625042609
evidence_set_size,0.0226297625042609,0.0226297625042609
n_evidence_pages,0.0226297625042609,0.0226297625042609
claim_entity_count,-0.02006465493928949,0.02006465493928949
evidence_len_words,-0.0029253104571429185,0.0029253104571429185
nli_entailment,0.0027205539618094534,0.0027205539618094534
