feature,coef,abs_coef
cosine_sim_claim_evidence,1.9087617318973207,1.9087617318973207
jaccard_content,-1.2353559413269921,1.2353559413269921
claim_modals,0.7463513448370819,0.7463513448370819
claim_has_date_evidence_no_date,0.7331032360222367,0.7331032360222367
nli_entailment,-0.682757556425724,0.682757556425724
claim_negation,0.6744123652507205,0.6744123652507205
nli_contradiction,-0.4937265556050622,0.4937265556050622
claim_comparative,-0.4064019726781415,0.4064019726781415
evidence_negation,0.30333287444137397,0.30333287444137397
claim_dates,-0.22206364406811818,0.22206364406811818
claim_numbers,0.15620382840914782,0.15620382840914782
lexical_overlap,-0.14121764809319573,0.14121764809319573
claim_person_org_entities,0.1354352382350205,0.1354352382350205
claim_entity_count,0.13324058634183816,0.13324058634183816
entity_overlap,0.11387940030540757,0.11387940030540757
nli_neutral,0.11310483060720847,0.11310483060720847
evidence_entity_count,-0.11305016473773098,0.11305016473773098
claim_conjunctions,-0.07284032544975377,0.07284032544975377
gold_label_refuted,-0.058092073175852736,0.058092073175852736
claim_len_words,0.047887608518105716,0.047887608518105716
evidence_set_size,0.035737477190687934,0.035737477190687934
n_evidence_pages,0.035737477190687934,0.035737477190687934
n_evidence_sentences,0.035737477190687934,0.035737477190687934
claim_pronouns,-0.020487746303476575,0.020487746303476575
evidence_len_words,0.01696716053269708,0.01696716053269708
claim_evidence_len_ratio,-0.012850290959315067,0.012850290959315067
evidence_numbers,0.010128639976358026,0.010128639976358026
numerical_overlap,-0.007551826164326294,0.007551826164326294
