feature,coef,abs_coef
gold_label_refuted,0.705772672415811,0.705772672415811
lexical_overlap,0.6395051870553684,0.6395051870553684
claim_comparative,0.4610070919604504,0.4610070919604504
nli_entailment,-0.42713588274581926,0.42713588274581926
jaccard_content,0.3910770185028904,0.3910770185028904
claim_numbers,0.3772248643865873,0.3772248643865873
cosine_sim_claim_evidence,-0.3726531944891995,0.3726531944891995
claim_has_date_evidence_no_date,-0.32826605660092684,0.32826605660092684
nli_contradiction,-0.31096822642890315,0.31096822642890315
claim_negation,0.2058011016961125,0.2058011016961125
nli_neutral,0.1853200790583071,0.1853200790583071
claim_modals,0.183073456513121,0.183073456513121
claim_pronouns,0.15881772087941215,0.15881772087941215
claim_entity_count,0.15722514190152936,0.15722514190152936
claim_evidence_len_ratio,0.1473600434836421,0.1473600434836421
evidence_negation,0.13904217044518982,0.13904217044518982
entity_overlap,-0.1352099187498259,0.1352099187498259
claim_dates,0.0967508272369837,0.0967508272369837
numerical_overlap,-0.07575124243783067,0.07575124243783067
claim_conjunctions,0.06479404772132082,0.06479404772132082
n_evidence_pages,0.06032487952417666,0.06032487952417666
n_evidence_sentences,0.06032487952417666,0.06032487952417666
evidence_set_size,0.06032487952417666,0.06032487952417666
claim_person_org_entities,0.05161484681796046,0.05161484681796046
claim_len_words,-0.030949251698130235,0.030949251698130235
evidence_numbers,0.02527134509365224,0.02527134509365224
evidence_entity_count,-0.008421294561968017,0.008421294561968017
evidence_len_words,-0.004474462971127092,0.004474462971127092
