claim_id,claim,fever_label,evidence,evidence_page_count,evidence_set_size,gpt54_claim_only_pred,gpt54_evidence_pred,gpt54mini_claim_only_pred,gpt54mini_evidence_pred,nli_entailment,nli_contradiction,nli_neutral,semantic_similarity,priority_score,evidence_pages_json,linguistic_flags,proposed_diagnostic_category,human_category,human_evidence_sufficient,human_label_agree,human_notes
53468,Underdog was directed by an American film director.,Supported,"Directed by Frederik Du Chau and written by Joe Piscatella , Adam Rifkin , and Craig A. Williams , the film stars Jim Belushi , Peter Dinklage , John Slattery , and Patrick Warburton with the voice talents of Jason Lee , Amy Adams , and Brad Garrett . Jason Michael Lee -LRB- born April 25 , 1970 -RRB- is an American actor , producer , comedian and skateboarder .",2,2,Supported,Refuted,Supported,Refuted,0.006463709287345409,0.00456093717366457,0.9889754056930542,0.21098503,16,"[""Underdog_-LRB-film-RRB-"", ""Jason_Lee_-LRB-actor-RRB-""]",multi_sentence_evidence,shared_regression;multi_sentence_integration_or_title_context;possible_representation_failure;possible_benchmark_annotation_issue,,,,
115386,Motion is good for heart health.,Supported,"The heart receives blood low in oxygen from the systemic circulation , which enters the right atrium from the superior and inferior venae cavae and passes to the right ventricle .",1,1,Supported,Refuted,Supported,Refuted,0.0012766376603394747,0.002878858707845211,0.9958445429801941,0.22956795,15,"[""Heart""]",,shared_regression;possible_representation_failure;possible_benchmark_annotation_issue,,,,
209859,Tie Your Mother Down was on the Billboard charts.,Supported,"On its original release as a single in 1977 the song peaked at 31 in the UK Singles Chart , however more than 20 years later it was released as a double a-side to `` No-One But You -LRB- Only the Good Die Young -RRB- '' where it reached 13 in UK Singles Chart .",1,1,Supported,Refuted,Supported,Refuted,0.00021935520635452121,0.9980571866035461,0.0017234161496162415,0.26056364,15,"[""Tie_Your_Mother_Down""]",,shared_regression;possible_representation_failure;possible_benchmark_annotation_issue,,,,
129066,Dev Patel has not worked with Neill Blomkamp.,Supported,"Patel went on to star in the highly successful romantic comedy The Best Exotic Marigold Hotel -LRB- 2012 -RRB- and its 2015 sequel , the fantasy film The Last Airbender -LRB- 2010 -RRB- , and the science fiction film Chappie -LRB- 2015 -RRB- . Chappie -LRB- stylized as CHAPPiE -RRB- is a 2015 science fiction film directed by South African director Neill Blomkamp and written by Blomkamp and Terri Tatchell .",2,2,Refuted,Refuted,Supported,Refuted,2.7540447263163514e-05,0.9998342990875244,0.00013816052523907274,0.20559086,14,"[""Dev_Patel"", ""Chappie_-LRB-film-RRB-""]",negation;multi_sentence_evidence,multi_sentence_integration_or_title_context;negation_or_scope;possible_representation_failure;possible_benchmark_annotation_issue,,,,
198545,Catherine Hardwicke is an award-winning film director.,Supported,"Catherine Hardwicke -LRB- born Helen Catherine Hardwicke ; -RRB- is an American film director , production designer and screenwriter . Her works include the Academy Award-nominated independent film Thirteen , which she co-wrote with Nikki Reed , the film 's co-star , the Biblically-themed The Nativity Story , the vampire film Twilight , the werewolf film Red Riding Hood , and the classic skateboarding film Lords of Dogtown .",2,2,Supported,Refuted,Supported,Refuted,0.005915362387895584,0.0005545351305045187,0.9935300946235657,0.594653,14,"[""Catherine_Hardwicke"", ""Catherine_Hardwicke""]",multi_sentence_evidence,shared_regression;multi_sentence_integration_or_title_context;possible_benchmark_annotation_issue,,,,
187390,Rob McElhenney plays the character Mac on It's Always Sunny in Philadelphia.,Supported,"Robert Dale `` Rob '' McElhenney -LRB- born April 14 , 1977 -RRB- is an American actor , director , producer , and screenwriter .",1,1,Supported,Refuted,Supported,Refuted,0.0003849276399705559,0.0018088805954903364,0.9978062510490417,0.5389651,14,"[""Rob_McElhenney""]",pronouns,shared_regression;possible_coreference_or_title_loss;possible_benchmark_annotation_issue,,,,
61401,Stomp the Yard stars an American actor born in October of 1982.,Supported,"The film stars Columbus Short , Meagan Good , Darrin Henson , Brian White , Laz Alonso , and Valarie Pettiford , with Harry Lennix , and , in their film debuts , R&B singers Ne-Yo & Chris Brown . Columbus Keith Short , Jr. -LRB- born September 19 , 1982 -RRB- is an American choreographer , actor , and singer .",2,2,Supported,Refuted,Supported,Refuted,0.00017103551363106817,0.9920116066932678,0.007817362435162067,0.3329513,14,"[""Stomp_the_Yard"", ""Columbus_Short""]",numbers;dates;multi_sentence_evidence,shared_regression;multi_sentence_integration_or_title_context;numerical_or_comparative_reasoning;possible_benchmark_annotation_issue,,,,
76867,The Invisible Man came out after enforcement of the Motion Picture Production Code censorship guidelines took effect.,Supported,"The Invisible Man is an American 1933 Pre-Code science fiction horror film based on H. G. Wells ' science fiction novel The Invisible Man , published in 1897 , as adapted by R.C. Sherriff , Philip Wylie and Preston Sturges , whose work was considered unsatisfactory and who was taken off the project . Pre-Code Hollywood refers to the brief era in the American film industry between the introduction of sound pictures in 1929 and the enforcement of the Motion Picture Production Code censorship guidelines , popularly known as the `` Hays Code '' , in mid-1934 .",2,2,Supported,Refuted,Supported,Refuted,0.08162893354892731,0.67934250831604,0.23902849853038788,0.6391613,14,"[""The_Invisible_Man_-LRB-film-RRB-"", ""Pre-Code_Hollywood""]",multi_sentence_evidence,shared_regression;multi_sentence_integration_or_title_context;possible_benchmark_annotation_issue,,,,
96466,Speech recognition is popular in online gaming.,Supported,"From the technology perspective , speech recognition has a long history with several waves of major innovations . These speech industry players include Google , Microsoft , IBM , Baidu , Apple , Amazon , Nuance , SoundHound , IflyTek , CDAC many of which have publicized the core technology in their speech recognition systems as being based on deep learning .",2,2,Supported,Refuted,Supported,Refuted,0.0005163467139936984,0.24700139462947845,0.7524822950363159,0.5288938,14,"[""Speech_recognition"", ""Speech_recognition""]",multi_sentence_evidence,shared_regression;multi_sentence_integration_or_title_context;possible_benchmark_annotation_issue,,,,
35381,Ann Richards was the head of the executive branch of Texas's government.,Supported,"A Democrat , she first came to national attention as the state treasurer of Texas , when she delivered the keynote address at the 1988 Democratic National Convention . A treasurer is the person responsible for running the treasury of an organization .",2,2,Supported,Refuted,Supported,Refuted,0.000747660466004163,0.9484171271324158,0.050835222005844116,0.44831562,14,"[""Ann_Richards"", ""Treasurer""]",multi_sentence_evidence,shared_regression;multi_sentence_integration_or_title_context;possible_representation_failure;possible_benchmark_annotation_issue,,,,
